Angle,Count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,19
53,12
54,24
55,95
56,234
57,685
58,2058
59,2600
60,3302
61,4271
62,5699
63,7149
64,8807
65,8908
66,10576
67,10258
68,9453
69,8751
70,8285
71,7198
72,7417
73,7997
74,8476
75,8863
76,9185
77,8489
78,7808
79,6803
80,5917
81,4598
82,3901
83,3102
84,2409
85,1994
86,1555
87,956
88,825
89,857
90,625
91,521
92,577
93,777
94,982
95,953
96,1214
97,1236
98,1580
99,1563
100,1357
101,1475
102,1475
103,1711
104,1879
105,1856
106,2105
107,2260
108,2410
109,2652
110,2442
111,2264
112,1771
113,1552
114,1199
115,994
116,686
117,523
118,604
119,644
120,1158
121,1441
122,2022
123,2924
124,3718
125,4654
126,5319
127,5134
128,4680
129,4454
130,3977
131,4547
132,4701
133,4123
134,4287
135,4633
136,5425
137,5118
138,5296
139,5137
140,4599
141,4507
142,4182
143,4478
144,4474
145,4210
146,3314
147,3384
148,3036
149,2184
150,2039
151,1577
152,1286
153,802
154,647
155,377
156,251
157,166
158,171
159,47
160,29
161,33
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
