Distance (A),Count
0.0,0.0
0.02,0.0
0.04,0.0
0.06,0.0
0.08,0.0
0.1,0.0
0.12,0.0
0.14,0.0
0.16,0.0
0.18,0.0
0.2,0.0
0.22,0.0
0.24,0.0
0.26,0.0
0.28,0.0
0.3,0.0
0.32,0.0
0.34,0.0
0.36,0.0
0.38,0.0
0.4,0.0
0.42,0.0
0.44,0.0
0.46,0.0
0.48,0.0
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.6,0.0
0.62,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.7000000000000001,0.0
0.72,0.0
0.74,0.0
0.76,0.0
0.78,0.0
0.8,0.0
0.8200000000000001,0.0
0.84,0.0
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.9400000000000001,0.0
0.96,0.0
0.98,0.0
1.0,0.0
1.02,0.0
1.04,0.0
1.06,0.0
1.08,0.0
1.1,0.0
1.12,0.0
1.1400000000000001,0.0
1.16,0.0
1.18,0.0
1.2,0.0
1.22,0.0
1.24,0.0
1.26,0.0
1.28,0.0
1.3,0.0
1.32,0.0
1.34,0.0
1.36,0.0
1.3800000000000001,0.0
1.4000000000000001,0.0
1.42,0.0
1.44,0.0
1.46,0.0
1.48,0.0
1.5,0.0
1.52,0.0
1.54,0.0
1.56,0.0
1.58,0.0
1.6,0.0
1.62,0.0
1.6400000000000001,0.0
1.6600000000000001,0.0
1.68,0.0
1.7,0.0
1.72,0.0
1.74,0.0
1.76,0.0
1.78,0.0
1.8,0.0
1.82,0.0
1.84,0.0
1.86,0.0
1.8800000000000001,0.0
1.9000000000000001,0.0
1.92,0.0
1.94,0.0
1.96,0.0
1.98,0.0
2.0,0.0
2.02,0.0
2.04,0.0
2.06,0.0
2.08,0.0
2.1,0.0
2.12,0.0
2.14,0.0
2.16,0.0
2.18,0.0
2.2,0.06742709445412147
2.22,0.28147076138147575
2.24,0.5150695494496885
2.2600000000000002,0.9322395056467075
2.2800000000000002,2.1829286025883485
2.3000000000000003,4.486417268819236
2.32,7.090476912962092
2.34,12.748326077829525
2.36,15.541601255886539
2.38,19.649038461539376
2.4,21.756080133240847
2.42,22.768383188970788
2.44,23.14556353818768
2.46,22.01732970463334
2.48,20.29735384615284
2.5,19.93720565149198
2.52,16.79154127538969
2.54,13.944185697115458
2.56,13.009110953945758
2.58,11.53163404642634
2.6,9.778881453026072
2.62,8.077717736808456
2.64,7.342242245289548
2.66,7.9694809534418205
2.68,7.494776828110162
2.7,7.751780010646481
2.72,7.458288421578827
2.74,6.507197906063603
2.7600000000000002,6.618147651220302
2.7800000000000002,7.195054945055173
2.8000000000000003,7.10032384998451
2.82,6.365495246669481
2.84,5.663997111011798
2.86,4.139957264957279
2.88,3.365224549529
2.9,3.062704793798847
2.92,3.178162944926759
2.94,2.598050233185395
2.96,2.3200618128774253
2.98,1.8338461538461424
3.0,1.6456768090468439
3.02,1.3604037928830073
3.04,1.020317629314168
3.06,0.8640709939411203
3.08,0.6109021051789014
3.1,0.6713700500682718
3.12,0.6459928160605691
3.14,0.28841531805800374
3.16,0.3340909713284234
3.18,0.36778846153846073
3.2,0.24571701590335088
3.22,0.26643452569378445
3.24,0.22148426303644805
3.2600000000000002,0.2059213837916992
3.2800000000000002,0.3280356007628732
3.3000000000000003,0.10300702345991931
3.3200000000000003,0.10674183645606077
3.34,0.12755102040816313
3.36,0.050903195050808925
3.38,0.0
3.4,0.0
3.42,0.0
3.44,0.0
3.46,0.0
3.48,0.0
3.5,0.0
3.52,0.0
3.54,0.0
3.56,0.0
3.58,0.0
3.6,0.0
3.62,0.0
3.64,0.0
3.66,0.0
3.68,0.0
3.7,0.0
3.72,0.0
3.74,0.0
3.7600000000000002,0.0
3.7800000000000002,0.0
3.8000000000000003,0.0
3.8200000000000003,0.0
3.84,0.0
3.86,0.0
3.88,0.0
3.9,0.0
3.92,0.0
3.94,0.0
3.96,0.0
3.98,0.0
4.0,0.0
4.0200000000000005,0.0
4.04,0.0
4.0600000000000005,0.0
4.08,0.0
4.1,0.0
4.12,0.009694149580728029
4.14,0.011201354119253526
4.16,0.033283261689204764
4.18,0.025117739403453694
4.2,0.043540386299982886
4.22,0.06469589506257363
4.24,0.06408984786290879
4.26,0.07407432291701664
4.28,0.14228065066356038
4.3,0.24632003798670402
4.32,0.4528250105773542
4.34,0.627860902669415
4.36,0.8848535589012325
4.38,1.3273998728544023
4.4,1.9972186041676852
4.42,2.3051637916502816
4.44,2.951381100951735
4.46,3.300382653061173
4.48,3.6731623931624062
4.5,4.311674307366936
4.5200000000000005,4.648614596411073
4.54,4.4308011932666025
4.5600000000000005,3.9274906745015703
4.58,3.579322378944328
4.6000000000000005,3.282431853860407
4.62,2.650947818531163
4.64,2.1857381506665847
4.66,1.8775603095129743
4.68,1.2448375526691335
4.7,0.9061553930126244
4.72,0.5595750187963037
4.74,0.41310641903820106
4.76,0.33814857259825004
4.78,0.34615384615384753
4.8,0.18117933443082837
4.82,0.16786369153010772
4.84,0.11020834066101541
4.86,0.023256775473921396
4.88,0.026527408451606702
4.9,0.011440076877316612
4.92,0.006808579314275194
4.94,0.0
4.96,0.0
4.98,0.0
5.0,0.0
5.0200000000000005,0.0
5.04,0.0
5.0600000000000005,0.0
5.08,0.0
5.1000000000000005,0.0
5.12,0.0
5.14,0.0
5.16,0.0
5.18,0.0
5.2,0.0
5.22,0.0
5.24,0.0
5.26,0.0
5.28,0.0
5.3,0.0
5.32,0.0
5.34,0.0
5.36,0.0
5.38,0.0
5.4,0.0
5.42,0.0
5.44,0.0
5.46,0.0
5.48,0.0
5.5,0.0
5.5200000000000005,0.0
5.54,0.0
5.5600000000000005,0.0
5.58,0.0
5.6000000000000005,0.0
5.62,0.0
5.64,0.0
5.66,0.0
5.68,0.0
5.7,0.0
5.72,0.0
5.74,0.0
5.76,0.0
5.78,0.0
5.8,0.0
5.82,0.0
5.84,0.0
5.86,0.0
5.88,0.0
5.9,0.0
5.92,0.0
5.94,0.0
5.96,0.0
5.98,0.0
